Key,Value
Penn (Wharton),"(6, '0.054*""university"" + 0.026*""school"" + 0.024*""ivy"" + 0.019*""college"" + 0.011*""state"" + 0.009*""went"" + 0.009*""best"" + 0.009*""league"" + 0.009*""applicant"" + 0.008*""princeton""')"
Penn (Wharton),"(7, '0.027*""student"" + 0.023*""university"" + 0.009*""world"" + 0.007*""business"" + 0.006*""need"" + 0.006*""also"" + 0.005*""experience"" + 0.005*""career"" + 0.005*""ivy"" + 0.005*""go""')"
Penn (Wharton),"(8, '0.011*""alumnus"" + 0.010*""program"" + 0.010*""company"" + 0.009*""get"" + 0.009*""usd"" + 0.008*""business"" + 0.006*""network"" + 0.006*""work"" + 0.006*""decision"" + 0.005*""go""')"
Penn (Wharton),"(9, '0.012*""student"" + 0.010*""aid"" + 0.009*""law"" + 0.009*""firm"" + 0.009*""league"" + 0.009*""ivy"" + 0.008*""sister"" + 0.008*""going"" + 0.008*""pay"" + 0.008*""get""')"
HEC Paris,"(0, '0.033*""program"" + 0.024*""business"" + 0.021*""student"" + 0.017*""world"" + 0.017*""paris"" + 0.012*""network"" + 0.012*""best"" + 0.012*""alumnus"" + 0.009*""top"" + 0.009*""school""')"
HEC Paris,"(1, '0.019*""year"" + 0.015*""score"" + 0.014*""university"" + 0.013*""paris"" + 0.013*""institute"" + 0.012*""exam"" + 0.012*""admission"" + 0.010*""degree"" + 0.009*""management"" + 0.009*""time""')"
HEC Paris,"(2, '0.019*""job"" + 0.014*""career"" + 0.013*""engineering"" + 0.012*""get"" + 0.010*""student"" + 0.010*""business"" + 0.009*""work"" + 0.009*""college"" + 0.009*""field"" + 0.009*""management""')"
HEC Paris,"(3, '0.048*""scholarship"" + 0.017*""maybe"" + 0.016*""habit"" + 0.015*""want"" + 0.014*""program"" + 0.013*""people"" + 0.012*""chance"" + 0.010*""choose"" + 0.009*""success"" + 0.009*""spend""')"
HEC Paris,"(4, '0.030*""people"" + 0.016*""risk"" + 0.013*""context"" + 0.012*""europe"" + 0.012*""summer"" + 0.012*""cohort"" + 0.010*""firm"" + 0.009*""policy"" + 0.009*""french"" + 0.008*""paris""')"
HEC Paris,"(5, '0.023*""consulting"" + 0.015*""want"" + 0.014*""alumnus"" + 0.014*""career"" + 0.014*""tier"" + 0.013*""answer"" + 0.012*""see"" + 0.012*""great"" + 0.009*""europe"" + 0.009*""industry""')"
HEC Paris,"(6, '0.021*""application"" + 0.019*""interview"" + 0.018*""online"" + 0.016*""program"" + 0.013*""experience"" + 0.012*""need"" + 0.012*""work"" + 0.011*""thing"" + 0.010*""gmat"" + 0.010*""get""')"
HEC Paris,"(7, '0.012*""program"" + 0.011*""finance"" + 0.009*""well"" + 0.009*""thanks"" + 0.009*""residing"" + 0.009*""dual"" + 0.009*""brokerage"" + 0.007*""accounting"" + 0.007*""university"" + 0.007*""best""')"
HEC Paris,"(8, '0.018*""job"" + 0.018*""bank"" + 0.016*""get"" + 0.013*""wanted"" + 0.013*""getting"" + 0.012*""gap"" + 0.011*""day"" + 0.010*""volunteer"" + 0.010*""break"" + 0.008*""others""')"
HEC Paris,"(9, '0.056*""paris"" + 0.014*""consulting"" + 0.014*""networking"" + 0.014*""school"" + 0.013*""industry"" + 0.013*""finance"" + 0.012*""campus"" + 0.011*""top"" + 0.011*""known"" + 0.010*""career""')"
London Business School,"(0, '0.024*""opportunity"" + 0.023*""get"" + 0.023*""top"" + 0.021*""travel"" + 0.016*""pretty"" + 0.016*""think"" + 0.015*""wall"" + 0.014*""time"" + 0.013*""work"" + 0.013*""give""')"
London Business School,"(1, '0.026*""score"" + 0.018*""experience"" + 0.018*""round"" + 0.018*""impressive"" + 0.018*""gmat"" + 0.011*""league"" + 0.011*""basically"" + 0.010*""successful"" + 0.009*""alumnus"" + 0.009*""professor""')"
London Business School,"(2, '0.029*""work"" + 0.023*""year"" + 0.021*""get"" + 0.016*""student"" + 0.013*""lot"" + 0.012*""want"" + 0.012*""programme"" + 0.011*""business"" + 0.010*""chance"" + 0.010*""best""')"
London Business School,"(3, '0.029*""business"" + 0.021*""city"" + 0.019*""school"" + 0.014*""friend"" + 0.014*""living"" + 0.010*""time"" + 0.010*""year"" + 0.008*""world"" + 0.008*""chicago"" + 0.007*""york""')"
London Business School,"(4, '0.041*""admission"" + 0.029*""profile"" + 0.021*""candidate"" + 0.020*""work"" + 0.020*""experience"" + 0.020*""college"" + 0.019*""university"" + 0.017*""business"" + 0.015*""london"" + 0.014*""get""')"
London Business School,"(5, '0.023*""score"" + 0.023*""business"" + 0.022*""gmat"" + 0.019*""application"" + 0.016*""look"" + 0.015*""program"" + 0.015*""admission"" + 0.015*""apply"" + 0.014*""profile"" + 0.013*""london""')"
London Business School,"(6, '0.032*""program"" + 0.032*""business"" + 0.022*""top"" + 0.020*""london"" + 0.019*""best"" + 0.018*""world"" + 0.017*""career"" + 0.016*""goal"" + 0.015*""network"" + 0.013*""experience""')"
London Business School,"(7, '0.020*""answer"" + 0.018*""question"" + 0.015*""cv"" + 0.014*""application"" + 0.013*""experience"" + 0.013*""essay"" + 0.011*""get"" + 0.009*""specific"" + 0.009*""student"" + 0.009*""london""')"
London Business School,"(8, '0.035*""career"" + 0.022*""specific"" + 0.019*""current"" + 0.015*""give"" + 0.014*""eligibility"" + 0.013*""working"" + 0.013*""wish"" + 0.012*""enough"" + 0.012*""skill"" + 0.012*""thing""')"
London Business School,"(9, '0.024*""student"" + 0.024*""business"" + 0.018*""career"" + 0.017*""opportunity"" + 0.013*""london"" + 0.011*""alumnus"" + 0.010*""experience"" + 0.009*""offer"" + 0.009*""network"" + 0.009*""education""')"
MIT (Sloan),"(0, '0.015*""gmat"" + 0.014*""school"" + 0.013*""best"" + 0.012*""student"" + 0.011*""experience"" + 0.010*""answer"" + 0.010*""applicant"" + 0.009*""help"" + 0.009*""get"" + 0.009*""sloan""')"
MIT (Sloan),"(1, '0.033*""mit"" + 0.014*""program"" + 0.012*""sloan"" + 0.012*""also"" + 0.011*""pm"" + 0.010*""penn"" + 0.010*""work"" + 0.010*""startup"" + 0.009*""consulting"" + 0.009*""undergraduate""')"
MIT (Sloan),"(2, '0.041*""mit"" + 0.036*""program"" + 0.021*""school"" + 0.015*""student"" + 0.014*""management"" + 0.014*""berkeley"" + 0.013*""business"" + 0.012*""msms"" + 0.010*""graduate"" + 0.009*""get""')"
MIT (Sloan),"(3, '0.027*""definitely"" + 0.023*""criterion"" + 0.021*""base"" + 0.021*""holistic"" + 0.018*""student"" + 0.018*""graduation"" + 0.017*""one"" + 0.016*""valuable"" + 0.016*""mit"" + 0.015*""depends""')"
MIT (Sloan),"(4, '0.028*""student"" + 0.023*""fighter"" + 0.023*""street"" + 0.019*""work"" + 0.016*""game"" + 0.013*""friend"" + 0.013*""course"" + 0.013*""lot"" + 0.012*""people"" + 0.012*""mit""')"
MIT (Sloan),"(5, '0.031*""student"" + 0.018*""mit"" + 0.017*""course"" + 0.012*""class"" + 0.009*""work"" + 0.008*""undergrad"" + 0.008*""take"" + 0.008*""people"" + 0.007*""business"" + 0.007*""get""')"
MIT (Sloan),"(6, '0.029*""mit"" + 0.028*""easier"" + 0.024*""see"" + 0.016*""best"" + 0.016*""accepted"" + 0.015*""http"" + 0.014*""list"" + 0.013*""fill"" + 0.010*""fit"" + 0.009*""write""')"
MIT (Sloan),"(7, '0.030*""mit"" + 0.021*""class"" + 0.020*""sloan"" + 0.017*""student"" + 0.012*""program"" + 0.010*""cohort"" + 0.009*""school"" + 0.008*""professor"" + 0.007*""network"" + 0.007*""take""')"
MIT (Sloan),"(8, '0.025*""sloan"" + 0.022*""mit"" + 0.015*""class"" + 0.014*""program"" + 0.013*""get"" + 0.012*""startup"" + 0.011*""student"" + 0.011*""admission"" + 0.010*""school"" + 0.010*""lot""')"
MIT (Sloan),"(9, '0.028*""sloan"" + 0.021*""important"" + 0.018*""ranking"" + 0.015*""mit"" + 0.014*""school"" + 0.013*""number"" + 0.012*""company"" + 0.012*""business"" + 0.011*""matter"" + 0.011*""want""')"
IE Business School,"(0, '0.033*""business"" + 0.026*""skill"" + 0.020*""profile"" + 0.018*""admission"" + 0.015*""look"" + 0.014*""work"" + 0.011*""experience"" + 0.011*""chance"" + 0.010*""also"" + 0.010*""student""')"
IE Business School,"(1, '0.026*""student"" + 0.019*""job"" + 0.018*""business"" + 0.012*""career"" + 0.011*""also"" + 0.010*""opportunity"" + 0.009*""help"" + 0.009*""program"" + 0.009*""skill"" + 0.008*""professor""')"
IE Business School,"(2, '0.019*""school"" + 0.015*""business"" + 0.013*""show"" + 0.013*""leader"" + 0.012*""want"" + 0.011*""top"" + 0.011*""know"" + 0.011*""program"" + 0.011*""profile"" + 0.011*""experience""')"
IE Business School,"(3, '0.023*""make"" + 0.019*""get"" + 0.015*""need"" + 0.015*""want"" + 0.014*""show"" + 0.013*""career"" + 0.012*""clear"" + 0.011*""area"" + 0.011*""detail"" + 0.010*""point""')"
IE Business School,"(4, '0.022*""people"" + 0.018*""student"" + 0.013*""time"" + 0.013*""work"" + 0.012*""think"" + 0.011*""course"" + 0.011*""year"" + 0.011*""programme"" + 0.011*""get"" + 0.011*""experience""')"
IE Business School,"(5, '0.035*""profile"" + 0.024*""work"" + 0.017*""business"" + 0.017*""add"" + 0.016*""thing"" + 0.015*""diversity"" + 0.014*""genuine"" + 0.014*""appear"" + 0.014*""question"" + 0.013*""program""')"
IE Business School,"(6, '0.030*""school"" + 0.025*""student"" + 0.019*""fit"" + 0.018*""profile"" + 0.017*""recommend"" + 0.015*""kind"" + 0.015*""best"" + 0.015*""business"" + 0.013*""people"" + 0.013*""process""')"
IE Business School,"(7, '0.021*""brand"" + 0.019*""place"" + 0.016*""case"" + 0.014*""madrid"" + 0.013*""class"" + 0.013*""barcelona"" + 0.013*""school"" + 0.011*""close"" + 0.011*""program"" + 0.011*""based""')"
IE Business School,"(8, '0.021*""program"" + 0.020*""question"" + 0.017*""student"" + 0.012*""business"" + 0.012*""well"" + 0.011*""go"" + 0.011*""ask"" + 0.011*""something"" + 0.009*""top"" + 0.009*""bring""')"
IE Business School,"(9, '0.036*""business"" + 0.031*""ranking"" + 0.025*""program"" + 0.019*""school"" + 0.019*""firm"" + 0.014*""world"" + 0.014*""ranked"" + 0.014*""mba"" + 0.013*""top"" + 0.013*""reputation""')"
UT Austin (McCombs School of Business),"(0, '0.024*""johnson"" + 0.022*""get"" + 0.018*""student"" + 0.017*""percent"" + 0.017*""class"" + 0.016*""utaustin"" + 0.010*""science"" + 0.010*""program"" + 0.010*""campus"" + 0.010*""still""')"
UT Austin (McCombs School of Business),"(1, '0.025*""engineering"" + 0.019*""university"" + 0.015*""dallas"" + 0.013*""business"" + 0.012*""computer"" + 0.012*""lot"" + 0.011*""campus"" + 0.011*""program"" + 0.011*""software"" + 0.010*""technology""')"
UT Austin (McCombs School of Business),"(2, '0.030*""dallas"" + 0.029*""campus"" + 0.026*""reputation"" + 0.025*""strong"" + 0.024*""university"" + 0.016*""texas"" + 0.015*""branch"" + 0.014*""faculty"" + 0.013*""consider"" + 0.012*""ranked""')"
UT Austin (McCombs School of Business),"(3, '0.018*""class"" + 0.016*""college"" + 0.014*""go"" + 0.011*""get"" + 0.010*""got"" + 0.008*""business"" + 0.008*""student"" + 0.008*""job"" + 0.008*""top"" + 0.008*""name""')"
UT Austin (McCombs School of Business),"(4, '0.019*""student"" + 0.017*""job"" + 0.016*""experience"" + 0.015*""scholarship"" + 0.014*""month"" + 0.014*""program"" + 0.013*""cost"" + 0.013*""city"" + 0.012*""living"" + 0.012*""lot""')"
UT Austin (McCombs School of Business),"(5, '0.024*""dallas"" + 0.020*""ranking"" + 0.018*""business"" + 0.015*""best"" + 0.014*""top"" + 0.013*""undergrad"" + 0.012*""student"" + 0.012*""life"" + 0.012*""go"" + 0.011*""going""')"
UT Austin (McCombs School of Business),"(6, '0.024*""student"" + 0.019*""top"" + 0.017*""gpa"" + 0.016*""program"" + 0.015*""phd"" + 0.013*""high"" + 0.013*""lot"" + 0.012*""scholarship"" + 0.012*""graduation"" + 0.010*""went""')"
UT Austin (McCombs School of Business),"(7, '0.019*""business"" + 0.013*""student"" + 0.013*""opportunity"" + 0.013*""job"" + 0.011*""go"" + 0.011*""want"" + 0.010*""career"" + 0.010*""college"" + 0.009*""lot"" + 0.009*""berkeley""')"
UT Austin (McCombs School of Business),"(8, '0.029*""degree"" + 0.022*""business"" + 0.020*""education"" + 0.020*""accounting"" + 0.019*""professional"" + 0.016*""science"" + 0.015*""master"" + 0.015*""program"" + 0.012*""experienced"" + 0.012*""graduation""')"
UT Austin (McCombs School of Business),"(9, '0.068*""program"" + 0.046*""analytics"" + 0.040*""business"" + 0.019*""student"" + 0.018*""msba"" + 0.014*""course"" + 0.014*""highly"" + 0.012*""great"" + 0.012*""industry"" + 0.010*""application""')"
Columbia Business School,"(0, '0.055*""core"" + 0.024*""undergrad"" + 0.021*""course"" + 0.017*""education"" + 0.017*""art"" + 0.013*""history"" + 0.011*""think"" + 0.011*""book"" + 0.011*""liberal"" + 0.011*""day""')"
Columbia Business School,"(1, '0.037*""taken"" + 0.030*""prerequisite"" + 0.030*""b6302"" + 0.023*""summer"" + 0.013*""made"" + 0.013*""begin"" + 0.011*""business"" + 0.011*""office"" + 0.010*""talent"" + 0.010*""corequisite""')"
Columbia Business School,"(2, '0.011*""school"" + 0.011*""admission"" + 0.010*""top"" + 0.010*""application"" + 0.009*""interview"" + 0.009*""idea"" + 0.007*""something"" + 0.007*""life"" + 0.007*""really"" + 0.007*""term""')"
Columbia Business School,"(3, '0.016*""top"" + 0.011*""summary"" + 0.011*""case"" + 0.008*""tuck"" + 0.008*""size"" + 0.007*""kellog"" + 0.007*""credential"" + 0.007*""harder"" + 0.006*""sloan"" + 0.006*""stats""')"
Columbia Business School,"(4, '0.031*""economics"" + 0.023*""science"" + 0.023*""finance"" + 0.023*""core"" + 0.020*""emphasis"" + 0.019*""financial"" + 0.014*""msfe"" + 0.012*""faculty"" + 0.012*""classroom"" + 0.011*""include""')"
Columbia Business School,"(5, '0.040*""york"" + 0.033*""top"" + 0.032*""generally"" + 0.029*""city"" + 0.024*""student"" + 0.023*""school"" + 0.021*""business"" + 0.016*""figure"" + 0.015*""employment"" + 0.014*""subway""')"
Columbia Business School,"(6, '0.044*""take"" + 0.035*""class"" + 0.019*""question"" + 0.018*""stem"" + 0.017*""email"" + 0.016*""lot"" + 0.014*""engineering"" + 0.014*""personally"" + 0.013*""interviewer"" + 0.013*""think""')"
Columbia Business School,"(7, '0.028*""student"" + 0.025*""business"" + 0.022*""course"" + 0.021*""program"" + 0.017*""get"" + 0.014*""class"" + 0.011*""also"" + 0.009*""school"" + 0.009*""market"" + 0.009*""capital""')"
Columbia Business School,"(8, '0.034*""qualify"" + 0.024*""major"" + 0.020*""admitted"" + 0.020*""college"" + 0.019*""way"" + 0.019*""even"" + 0.019*""probably"" + 0.018*""paid"" + 0.017*""job"" + 0.017*""working""')"
Columbia Business School,"(9, '0.017*""get"" + 0.016*""experience"" + 0.015*""work"" + 0.013*""people"" + 0.011*""time"" + 0.011*""getting"" + 0.010*""make"" + 0.010*""gmat"" + 0.010*""want"" + 0.010*""cbs""')"
INSEAD,"(0, '0.016*""career"" + 0.015*""company"" + 0.012*""answer"" + 0.011*""ranking"" + 0.011*""classmate"" + 0.011*""see"" + 0.010*""goal"" + 0.010*""respective"" + 0.009*""fit"" + 0.009*""still""')"
INSEAD,"(1, '0.012*""way"" + 0.010*""well"" + 0.010*""feel"" + 0.008*""know"" + 0.008*""get"" + 0.008*""mean"" + 0.008*""application"" + 0.007*""essay"" + 0.006*""pretty"" + 0.006*""want""')"
INSEAD,"(2, '0.020*""experience"" + 0.016*""business"" + 0.013*""work"" + 0.010*""life"" + 0.010*""year"" + 0.010*""make"" + 0.009*""class"" + 0.009*""great"" + 0.008*""people"" + 0.008*""go""')"
INSEAD,"(3, '0.037*""program"" + 0.025*""university"" + 0.018*""student"" + 0.017*""school"" + 0.016*""best"" + 0.014*""business"" + 0.011*""world"" + 0.011*""career"" + 0.010*""however"" + 0.010*""faculty""')"
INSEAD,"(4, '0.026*""student"" + 0.021*""school"" + 0.016*""program"" + 0.016*""business"" + 0.011*""want"" + 0.011*""time"" + 0.011*""company"" + 0.010*""get"" + 0.009*""class"" + 0.008*""brand""')"
INSEAD,"(5, '0.029*""programme"" + 0.021*""rate"" + 0.019*""best"" + 0.017*""world"" + 0.017*""admission"" + 0.016*""chicago"" + 0.016*""acceptance"" + 0.013*""alumnus"" + 0.013*""want"" + 0.013*""participant""')"
INSEAD,"(6, '0.022*""people"" + 0.017*""work"" + 0.015*""know"" + 0.012*""experience"" + 0.010*""program"" + 0.010*""get"" + 0.010*""really"" + 0.010*""probably"" + 0.010*""top"" + 0.010*""well""')"
INSEAD,"(7, '0.025*""mit"" + 0.021*""brand"" + 0.020*""school"" + 0.014*""top"" + 0.012*""sloan"" + 0.012*""great"" + 0.011*""part"" + 0.011*""however"" + 0.011*""salary"" + 0.010*""class""')"
INSEAD,"(8, '0.027*""english"" + 0.022*""school"" + 0.022*""native"" + 0.021*""speaker"" + 0.020*""le"" + 0.019*""graduate"" + 0.017*""treated"" + 0.015*""trying"" + 0.015*""diverse"" + 0.014*""weak""')"
INSEAD,"(9, '0.019*""admitted"" + 0.018*""environment"" + 0.016*""community"" + 0.015*""go"" + 0.015*""alumnus"" + 0.014*""language"" + 0.013*""culture"" + 0.013*""admission"" + 0.012*""prepare"" + 0.011*""allow""')"
IESE Business School,"(0, '0.022*""business"" + 0.016*""ranking"" + 0.015*""get"" + 0.014*""program"" + 0.013*""want"" + 0.013*""professor"" + 0.013*""also"" + 0.012*""go"" + 0.012*""student"" + 0.011*""network""')"
IESE Business School,"(1, '0.019*""work"" + 0.018*""get"" + 0.014*""course"" + 0.014*""programme"" + 0.013*""help"" + 0.012*""best"" + 0.012*""background"" + 0.011*""classmate"" + 0.010*""want"" + 0.010*""skill""')"
IESE Business School,"(2, '0.029*""career"" + 0.026*""programme"" + 0.013*""time"" + 0.012*""want"" + 0.012*""great"" + 0.012*""lse"" + 0.012*""change"" + 0.011*""question"" + 0.011*""barcelona"" + 0.011*""strong""')"
IESE Business School,"(3, '0.033*""think"" + 0.030*""career"" + 0.023*""go"" + 0.023*""job"" + 0.020*""goal"" + 0.017*""dream"" + 0.016*""business"" + 0.015*""time"" + 0.014*""money"" + 0.014*""question""')"
IESE Business School,"(4, '0.040*""business"" + 0.033*""career"" + 0.024*""opportunity"" + 0.020*""program"" + 0.017*""alumnus"" + 0.017*""network"" + 0.016*""student"" + 0.015*""london"" + 0.014*""offer"" + 0.013*""industry""')"
IESE Business School,"(5, '0.027*""program"" + 0.019*""http"" + 0.018*""answer"" + 0.016*""think"" + 0.013*""like"" + 0.013*""experience"" + 0.012*""case"" + 0.011*""student"" + 0.011*""tool"" + 0.010*""feel""')"
IESE Business School,"(6, '0.034*""life"" + 0.026*""business"" + 0.020*""program"" + 0.013*""great"" + 0.013*""current"" + 0.012*""goal"" + 0.011*""world"" + 0.011*""best"" + 0.011*""school"" + 0.011*""thing""')"
IESE Business School,"(7, '0.021*""business"" + 0.017*""program"" + 0.016*""school"" + 0.014*""score"" + 0.014*""london"" + 0.014*""work"" + 0.013*""top"" + 0.012*""student"" + 0.011*""experience"" + 0.011*""even""')"
IESE Business School,"(8, '0.032*""student"" + 0.015*""business"" + 0.014*""opportunity"" + 0.012*""school"" + 0.012*""also"" + 0.011*""thing"" + 0.010*""experience"" + 0.010*""http"" + 0.009*""course"" + 0.009*""professor""')"
IESE Business School,"(9, '0.059*""program"" + 0.029*""imd"" + 0.014*""student"" + 0.014*""year"" + 0.014*""executive"" + 0.014*""people"" + 0.013*""globally"" + 0.011*""feel"" + 0.011*""school"" + 0.010*""ranking""')"
UC Berkeley (Haas),"(0, '0.069*""berkeley"" + 0.024*""school"" + 0.023*""top"" + 0.017*""cost"" + 0.015*""get"" + 0.015*""education"" + 0.015*""student"" + 0.013*""go"" + 0.011*""want"" + 0.011*""ranking""')"
UC Berkeley (Haas),"(1, '0.034*""b"" + 0.020*""ceo"" + 0.018*""former"" + 0.017*""chairman"" + 0.013*""president"" + 0.011*""student"" + 0.010*""applicant"" + 0.009*""founder"" + 0.009*""class"" + 0.009*""cal""')"
UC Berkeley (Haas),"(2, '0.056*""ivy"" + 0.042*""berkeley"" + 0.030*""league"" + 0.024*""university"" + 0.017*""research"" + 0.017*""faculty"" + 0.016*""field"" + 0.015*""prestige"" + 0.013*""depends"" + 0.012*""institution""')"
